Time,ProdWnow,ConsWnow,ProdWhToday,ConsWhToday,ProdWh7day,ConsWh7day,ProdWhLife,ConsWhLife
Wed Mar 21 20:15:05 2018, 0, 438, 67220, 47928, 339456, 334427, 1590879, 2576535
Wed Mar 21 20:30:06 2018, 0, 341, 67220, 48048, 339456, 334448, 1590879, 2576655
Wed Mar 21 20:45:05 2018, 0, 364, 67220, 48162, 339456, 334414, 1590879, 2576769
Wed Mar 21 21:00:06 2018, 0, 481, 67220, 48270, 339456, 333566, 1590879, 2576877
Wed Mar 21 21:15:06 2018, 0, 428, 67220, 48385, 339456, 333480, 1590879, 2576992
Wed Mar 21 21:30:07 2018, 0, 585, 67220, 48488, 339456, 333491, 1590879, 2577095
Wed Mar 21 21:45:06 2018, 0, 305, 67220, 48595, 339456, 333482, 1590879, 2577202
Wed Mar 21 22:00:06 2018, 0, 306, 67220, 48706, 339456, 332346, 1590879, 2577313
Wed Mar 21 22:15:06 2018, 0, 511, 67220, 48809, 339456, 331995, 1590879, 2577416
Wed Mar 21 22:30:06 2018, 0, 381, 67220, 48920, 339456, 331678, 1590879, 2577527
Wed Mar 21 22:45:05 2018, 0, 537, 67220, 49056, 339456, 330933, 1590879, 2577663
Wed Mar 21 23:00:07 2018, 0, 334, 67220, 49145, 339456, 330923, 1590879, 2577752
Wed Mar 21 23:15:06 2018, 0, 3880, 67220, 50305, 339456, 331366, 1590879, 2578912
Wed Mar 21 23:30:07 2018, 0, 561, 67220, 50926, 339456, 331175, 1590879, 2579533
Wed Mar 21 23:45:06 2018, 0, 3459, 67220, 51109, 339456, 331298, 1590879, 2579716
Thu Mar 22 00:00:06 2018, 0, 3823, 67220, 52067, 339456, 331483, 1590879, 2580674
Thu Mar 22 00:15:05 2018, 0, 291, 0, 0, 339456, 331016, 1590879, 2580973
Thu Mar 22 00:30:06 2018, 0, 3790, 0, 552, 339456, 331503, 1590879, 2581525
Thu Mar 22 00:45:05 2018, 0, 3679, 0, 1478, 339456, 331200, 1590879, 2582451
Thu Mar 22 01:00:07 2018, 0, 419, 0, 1827, 339456, 330717, 1590879, 2582800
Thu Mar 22 01:15:05 2018, 0, 3733, 0, 2280, 339456, 331080, 1590879, 2583253
Thu Mar 22 01:30:06 2018, 0, 3651, 0, 3200, 339456, 331208, 1590879, 2584173
Thu Mar 22 01:45:05 2018, 0, 3842, 0, 4596, 339456, 331805, 1590879, 2585569
Thu Mar 22 02:00:07 2018, 0, 289, 0, 4841, 339456, 331966, 1590879, 2585814
Thu Mar 22 02:15:05 2018, 0, 3829, 0, 5426, 339456, 331679, 1590879, 2586399
Thu Mar 22 02:30:06 2018, 0, 3826, 0, 6376, 339456, 331932, 1590879, 2587349
Thu Mar 22 02:45:06 2018, 0, 3715, 0, 7339, 339456, 332829, 1590879, 2588312
Thu Mar 22 03:00:07 2018, 0, 187, 0, 7595, 339456, 332249, 1590879, 2588568
Thu Mar 22 03:15:05 2018, 0, 3691, 0, 8178, 339456, 332387, 1590879, 2589151
Thu Mar 22 03:30:08 2018, 0, 3601, 0, 9090, 339456, 333042, 1590879, 2590063
Thu Mar 22 03:45:05 2018, 0, 3741, 0, 10015, 339456, 332601, 1590879, 2590988
Thu Mar 22 04:00:07 2018, 0, 3738, 0, 11675, 339456, 333836, 1590879, 2592648
Thu Mar 22 04:15:06 2018, 0, 184, 0, 11989, 339456, 333848, 1590879, 2592962
Thu Mar 22 04:30:06 2018, 0, 3686, 0, 12512, 339456, 333421, 1590879, 2593485
Thu Mar 22 04:45:05 2018, 0, 3676, 0, 13445, 339456, 334002, 1590879, 2594418
Thu Mar 22 05:00:08 2018, 0, 3805, 0, 14387, 339456, 334509, 1590879, 2595360
Thu Mar 22 05:15:05 2018, 0, 3665, 0, 15322, 339456, 334451, 1590879, 2596295
Thu Mar 22 05:30:06 2018, 0, 557, 0, 16215, 339456, 335230, 1590879, 2597188
Thu Mar 22 05:45:05 2018, 0, 2861, 0, 16319, 339456, 334702, 1590879, 2597292
Thu Mar 22 06:00:07 2018, 0, 3427, 0, 18471, 339456, 335915, 1590879, 2599444
Thu Mar 22 06:15:05 2018, 0, 3573, 0, 19359, 339456, 335546, 1590879, 2600332
Thu Mar 22 06:30:06 2018, 0, 3681, 0, 20288, 339456, 335541, 1590879, 2601261
Thu Mar 22 06:45:05 2018, 0, 8489, 0, 22335, 339456, 336636, 1590879, 2603308
Thu Mar 22 07:00:06 2018, 0, 3549, 0, 23898, 339456, 337783, 1590879, 2604871
Thu Mar 22 07:15:05 2018, 0, 4753, 0, 24834, 339456, 338323, 1590879, 2605807
Thu Mar 22 07:30:06 2018, 0, 2376, 0, 25815, 339456, 338242, 1590879, 2606788
Thu Mar 22 07:45:05 2018, 0, 3851, 0, 28081, 339456, 339787, 1590879, 2609054
Thu Mar 22 08:00:07 2018, 0, 4023, 0, 29061, 339456, 340568, 1590879, 2610034
Thu Mar 22 08:15:05 2018, 77, 3924, 5, 30071, 339454, 340616, 1590884, 2611044
Thu Mar 22 08:30:06 2018, 203, 3751, 40, 31224, 339449, 340484, 1590919, 2612197
Thu Mar 22 08:45:05 2018, 303, 5198, 105, 32351, 339445, 341519, 1590984, 2613324
Thu Mar 22 09:00:07 2018, 433, 3761, 199, 33437, 339442, 341704, 1591078, 2614410
Thu Mar 22 09:15:06 2018, 656, 12529, 331, 35197, 339439, 342814, 1591210, 2616170
Thu Mar 22 09:30:06 2018, 1176, 3842, 553, 36579, 339421, 344130, 1591432, 2617552
Thu Mar 22 09:45:05 2018, 1907, 258, 923, 37437, 339336, 344071, 1591802, 2618410
Thu Mar 22 10:00:06 2018, 3371, 268, 1564, 37522, 339151, 343882, 1592443, 2618495
Thu Mar 22 10:15:05 2018, 4874, 4060, 2596, 38442, 338988, 344455, 1593475, 2619415
Thu Mar 22 10:30:06 2018, 6215, 417, 4000, 39040, 338895, 344263, 1594879, 2620013
Thu Mar 22 10:45:05 2018, 6924, 3806, 5652, 39326, 338841, 344453, 1596531, 2620299
Thu Mar 22 11:00:07 2018, 7546, 450, 7465, 40170, 338803, 344373, 1598344, 2621143
Thu Mar 22 11:15:05 2018, 8058, 348, 9407, 40286, 338766, 344406, 1600286, 2621259
Thu Mar 22 11:30:06 2018, 8570, 4421, 11477, 41288, 338756, 345329, 1602356, 2622261
